Hub,Length [m],Path,Length [nodes],Traffic,Origin
43,2615363.5986388596,[43 21  0],3,172.1680690573587,0
43,4587316.992019186,[43 21  0  1],4,0.05346618576004403,1
1364,8107071.893985758,[1364 1385 1407 1429 1451 1473 1495 1517 1539 1561 1583    2],12,0.0,2
179,4297265.073040094,[179 157 135 113  91  69  47  25   3],9,0.0,3
179,6269218.466420421,[179 157 135 113  91  69  47  25   3   4],10,0.06882822451271262,4
1543,2876826.389795789,[1543 1542 1564    5],4,17.285579866956468,5
1565,450779.94062965526,[1565    6],2,0.0,6
1566,487635.1397850252,[1566    7],2,0.0,7
1567,545020.0937739821,[1567    8],2,0.0,8
30,2519483.7697883192,[30  8  9],3,0.07355029354395093,9
1546,3255207.226221605,[1546 1547 1569   10],4,0.45526033251451586,10
1549,3286403.8063401557,[1549 1548 1570   11],4,0.048113283867353474,11
12,0.0,[12],1,0.020343050066353202,12
1572,604661.0559114264,[1572   13],2,0.0004488110062084161,13
14,0.0,[14],1,139.09617040393718,14
15,0.0,[15],1,444.9266768625953,15
1510,3785748.9089141036,[1510 1509 1531 1553 1575   16],6,40.96653955686175,16
1576,450779.9406296567,[1576   17],2,154.05879389493975,17
236,8426845.9451721,[236 214 192 170 148 126 104  82  60  38  16  17  18],13,473.2987370785238,18
84,3447808.1812537126,[84 62 40 18 19],5,765.4021269161249,19
20,0.0,[20],1,55.835526459410815,20
21,0.0,[21],1,799.8028837908078,21
43,1971953.393380326,[43 22],2,176.5913279430872,22
43,3943906.7867606515,[43 22 23],3,0.010069326075608842,23
1364,8709648.053493677,[1364 1385 1407 1429 1451 1473 1495 1517 1539 1561 1583    2   24],13,0.0,24
179,3751320.8687567366,[179 157 135 113  91  69  47  25],8,0.0,25
179,5723274.262137064,[179 157 135 113  91  69  47  25  26],9,20.042072339142337,26
71,899813.6884833644,[71 49 27],3,7.184388105276038,27
1565,902412.5622830144,[1565    6   28],3,0.0,28
1566,977405.9419375801,[1566    7   29],3,0.0,29
30,0.0,[30],1,0.0,30
30,1971953.3933803234,[30 31],2,0.07155718303559944,31
1549,5870570.824860463,[1549 1548 1547 1569   10   32],6,1.118414528022777,32
1571,3273048.34143228,[1571   12   11   33],4,0.060990680798397534,33
12,642673.5882998017,[12 34],2,0.007088657674310911,34
1572,1207237.215419346,[1572   13   35],3,0.0004488110062084161,35
36,0.0,[36],1,190.48212223899964,36
37,0.0,[37],1,515.1375958870119,37
38,0.0,[38],1,65.26937051413478,38
1576,902412.5622830159,[1576   17   39],3,199.12386345022293,39
149,4245259.467248671,[149 127 105  83  61  39  40],7,741.1403086283823,40
541,25059625.14742048,"[541 519 497 475 453 431 409 387 365 343 321 299 277 255 233 211 189 167
 145 123 101  79  57  35  36  37  38  39  40  41]",30,629.9787051073721,41
42,0.0,[42],1,74.22470108325479,42
43,0.0,[43],1,896.8991051554804,43
43,2629176.5916350125,[43 22 44],3,62.24204359554278,44
759,40434922.17712107,"[759 737 715 693 671 649 627 605 583 561 539 517 495 473 451 429 407 385
 363 341 319 297 275 253 231 209 187 165 143 121  99  77  55  54  53  52
  51  50  49  48  47  46  45]",43,0.0,45
179,5179841.755321643,[179 157 135 113  91  69  47  46],8,0.0,46
179,3207888.3619413176,[179 157 135 113  91  69  47],7,8.35955505803829,47
136,1924848.59733983,[136 114  92  70  48],5,44.02833255499638,48
